st_gene_id	gene_id	gene_symbol	fpkm_A11A	fpkm_A12A	fpkm_A13A	fpkm_A15A	fpkm_A16A	fpkm_A17A	fpkm_A18A	fpkm_A19A	fpkm_A1A	fpkm_A20A	fpkm_A2A	fpkm_A3A	fpkm_A4A	fpkm_A5A	fpkm_A6A	fpkm_A7A	fpkm_A9A	fpkm_B10A	fpkm_B12A	fpkm_B13A	fpkm_B14A	fpkm_B15A	fpkm_B16A	fpkm_B18A	fpkm_B19A	fpkm_B1A	fpkm_B20A	fpkm_B3A	fpkm_B4A	fpkm_B5A	fpkm_B6A	fpkm_B7A
150275	150275	CCDC117	7.3	9.06	6.07	6.74	7.2	6.39	5.45	6.59	7.94	6.85	6.26	7.33	6.56	7.46	3.3	5.94	7.22	6.83	5.74	8.32	8.59	5.73	4.74	7.14	5.65	6.53	6.69	4.57	7.5	6.54	3.6	4.47
79572	79572	ATP13A3	8.21	8.88	5.19	11.03	5.74	7.83	10.78	10.63	6.83	9.81	8.75	8.24	8.49	6.58	3.43	5.89	9.07	21.25	7.25	11.91	7.05	8.16	10.73	10.95	5.93	23.11	19.87	5.95	14.25	15.48	5.52	12.48
2634	2634	GBP2	0.93	1.32	1.74	0.37	3	3.4	1.05	0.59	1.53	0.75	0.89	0.44	0.36	1.63	0.99	3.39	0.85	2.85	0.58	1.55	3.84	0.64	4.77	3.83	0.44	0.72	2.16	1.43	8.45	1.51	0.42	1.38
1785	1785	DNM2	41	46.37	22.23	41.73	31.88	36.69	43.78	49.88	28.4	43.61	42.48	53.51	33.91	38.86	14.81	36.07	41.35	33.09	33.89	39.33	45.04	30.28	40.39	38.1	33.7	50.31	41.5	20.75	38.38	48.81	12.99	23.02
8419	8419	BFSP2	0	0	0.07	0.02	0	0.05	0	0	0.05	0	0	0.06	0.02	0	0	0	0.07	0.05	0	0	0	0	0.02	0.07	0	0.02	0	0.05	0	0	0	0
83548	83548	COG3	12.51	15.35	10.45	14.07	14.01	14.3	14.87	14.87	12.73	13.27	13.4	12.67	13.15	12.89	6.49	12.61	14.67	14.74	12.51	14.11	13.25	12.66	14.37	14.73	13.97	14.84	19.37	10.54	11.33	16.31	8.67	5.17
9363	9363	RAB33A	1.84	2.26	2	1.74	1.33	2.75	2.24	1.7	1.8	1.75	3.85	1.31	2.34	3.31	2.89	2.66	1.86	1.47	2.98	0.96	3.07	2.1	2.94	1.72	5.87	1.28	1.19	7.44	1.21	2.16	4.59	5.34
51599	51599	LSR	16.68	20.73	23.45	21.77	27.9	20.77	19.84	19.53	31.56	15.26	18.17	21.76	24.65	25.16	16.42	20.95	23.23	35.56	37.15	19.59	32.25	29.64	29.88	25.33	32.73	28.83	25.09	35.93	28.86	25.04	28.9	23.6
152926	152926	PPM1K	8.93	8.09	4.94	7.91	13.73	6.58	7.91	13.43	3.53	10.57	2.88	7.47	6.12	3.77	1.73	7.19	11.3	4.72	2.94	4.62	5.55	1.64	1.91	2.55	2.81	7.36	4.01	1.14	7.91	1.77	1.32	1.97
79618	79618	HMBOX1	4.4	6.54	6.36	5.05	7.29	4.31	3.76	4.36	4.82	5.08	5.14	5.3	3.02	5.5	2.31	4.91	4.19	4.39	2.83	4.49	4.56	3.25	4.48	4.01	3.7	4.65	4.64	2.23	4.18	5.14	1.29	2.51
401409	401409	RAB19	1.59	1.14	0.87	1.73	2.08	2.63	1.2	3.22	0.83	1.08	1.5	1.58	1.16	1.46	0.37	0.97	1.46	3.7	4.46	3.85	3.17	1.34	1.88	1.95	2.66	4.02	3.47	1.6	2.7	3.56	1.27	1.93
4893	4893	NRAS	6.54	9.46	6.89	9.46	9.97	7.61	6.56	7.85	7.93	7.43	6.9	6.48	6.16	8.63	5.69	7.83	6.92	8.73	8.48	7.37	7.3	5.64	8.17	7.1	6.57	8.39	8.48	9.5	7.3	8.49	7.14	6.05
347517	347517	RAB41	0.54	0.81	0.41	0.82	0.67	0.59	1.26	0.52	0.66	0.36	0.51	0.69	1.01	0.73	0.2	0.51	0.75	0.75	0.3	0.56	0.16	0.37	0.23	0.75	0.36	0.39	0.63	0.79	0.18	0.39	0.11	0.27
84071	84071	ARMC2	5.66	4.39	4.97	6.51	5.59	4.78	5.39	5.74	3.95	5.75	6.03	8.35	6.63	4.1	3.74	3.6	8.31	5.3	3.93	5.55	6.06	4.91	5.42	7.08	6.23	7.04	7.54	5.34	5.77	6.6	3.93	2.3
6531	6531	SLC6A3	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0.02	0.01	0	0.01	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0
7022	7022	TFAP2C	0	0	0.04	0.06	0.1	0.02	0	0	0.09	0	0	0	0	0.03	0	0.05	0	0	0	0	0	0.06	0.12	0.06	0	0	0.02	0.02	0.04	0.02	0.04	0
1244	1244	ABCC2	0.11	0.3	0.07	0.08	0.09	0.09	0.13	0.02	0.05	0.21	0.07	0.09	0.12	0.12	0.02	0.09	0.09	0.09	0	0.06	0.13	0.04	0.07	0.06	0.06	0.05	0.05	0.05	0.11	0.06	0.03	0.11
1638	1638	DCT	2.35	2.26	2.02	1.54	1.32	3.26	1.39	2.34	2.99	4.24	1.92	1.98	3.54	1.71	0.94	2.13	3.23	1.45	1.19	2.89	0.96	1.58	1.84	1.82	1.25	1.07	1.78	0.48	1.49	1.14	1.08	0.76
25953	25953	PNKD	62.87	69.57	65.23	47.05	48.81	78.2	59.47	41.88	64.33	66.26	82.3	68.83	65	91.42	112.19	69.24	72.64	131.69	118.94	62.45	53.26	107.09	72.65	95.62	89.55	67.91	65.73	169.21	66.38	56.51	224.49	202.72
374403	374403	TBC1D10C	0.37	0.67	0.58	0.87	1.71	1.26	2.24	1.27	0.74	1.03	0.81	2.03	0.59	0.19	0.47	1.16	1.8	0.48	0.39	2.29	4.17	0.15	2.37	3.5	0.39	1.59	2.57	1.43	5.2	1.47	0.29	0.35
1969	1969	EPHA2	0.65	0.85	0.35	0.25	1.63	1.47	0.63	0.67	0.43	0.84	0.26	0.25	0.27	1.53	0.28	1.04	0.49	0.3	0.37	0.62	1.84	0.28	2.79	0.84	0.25	0.38	0.77	0.12	1.65	0.69	0.03	0.07
112812	112812	FDX2	17.46	14.19	22.68	13.61	7.25	16.06	16.68	15.58	18.44	15.54	14.24	14.58	20.83	13.65	55.1	23.78	19.28	11.15	25.46	12.84	6.7	14.32	10.26	13.52	14.47	9.68	12.89	16.91	11.9	9.71	27.65	15.03
2203	2203	FBP1	4.92	2.16	11.72	15.39	1.17	9.23	26.71	9.82	34.4	4.84	13.86	52.68	25.79	1.77	39.76	21.68	19.47	3.77	11.21	4.6	1.1	3.89	9.82	7.49	1.98	3.27	7.13	4.6	4.97	5.03	21	7.36
4358	4358	MPV17	44.57	49.29	61.04	33.22	38.73	55.22	34.66	33.07	47.66	38.45	43.43	38.58	57.37	47.18	81.8	58.45	44.67	44.47	68.83	44.85	34.05	54.67	44.15	47.21	45.25	35.4	40.63	75.5	45.54	46.54	81.84	43
337879	337879	KRTAP8-1	0	0	0.11	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.11	0	0	0.11	0	0	0	0	0	0	0	0	0
91373	91373	UAP1L1	14.77	18.22	5.34	7.17	2.71	16.75	14.1	8.28	6.12	10.7	13.39	11	7.39	11.74	5.99	20.33	11.45	12.73	21.87	39.58	36.24	12.47	25.18	18.62	15.67	24.24	28.07	9.28	30.38	29.51	7.03	8.48
114836	114836	SLAMF6	0.14	0.36	0.15	0.2	0.37	0.55	0.18	0.38	0.14	0.2	0.08	0.25	0.11	0.15	0.16	0.23	0.17	0.18	0.15	0.43	1.36	0.16	1.04	1.41	0.19	0.38	0.81	0.42	2.12	0.38	0.08	0.36
101060321	101060321	TBC1D3G	4.63	6.19	1.63	6.17	5.32	2.4	4.99	9.5	3	5.8	3.88	8.8	0.89	3.12	1.21	5	5.5	3.28	1.29	7.14	8.07	1.72	4.92	3.44	5.04	5.8	5.4	2.05	2.82	7.25	1.94	1.64
79805	79805	VASH2	6.65	0.74	6.23	1.68	34.8	5.21	3.62	5.99	12.91	6.53	3.72	4.23	8.32	1.69	2.46	0.79	0.96	1.66	0.73	1.38	0.46	0.59	0.9	0.36	0.61	0.57	0.91	0.34	0.61	0.39	0.51	2.04
84275	84275	SLC25A33	6.16	4.79	11.46	6.47	8.57	7.06	6.21	7.04	12.17	7.28	4.63	5.4	6.4	7.23	16.65	7.8	6.57	7.79	10.95	12.47	25.49	9.77	9.38	8.22	9.67	7.29	5.8	24.81	8.92	7.06	13.6	10.12
4836	4836	NMT1	27.96	30.67	27.91	26.32	19.99	25.29	23.82	26.07	23.04	29.54	22.35	26.9	21.19	24.67	16.74	31.59	22.57	20.77	21.37	19.96	24.44	17.61	16.48	19.8	17.92	19.56	20.06	18.22	16.26	23.09	11.36	15.66
23788	23788	MTCH2	40.84	33.81	58.85	40.05	40.13	35.32	37.04	41.97	48.42	41.41	34.51	32.67	42.32	45.39	53.55	38.33	38.22	20.25	40.12	34.33	13.9	29.01	28.39	29.7	29.51	29.58	31.17	46.5	32.06	26.61	58.51	22.12
10233	10233	LRRC23	14.97	10.33	11.45	15.65	11.22	14.51	13.67	11.99	19.56	16.12	21.03	12.27	13.21	10.01	16.79	13.24	10.12	17.89	14.27	9.47	10.28	15.46	10.27	11.96	8.09	8.32	7.1	15.91	6.61	7.64	20.17	17.14
56971	56971	CEACAM19	2.18	4.19	1.21	3.86	4.35	7.01	7.03	6.38	2.74	5.89	6.37	5.81	7.81	3.18	0.9	5.63	6.53	1.94	1.86	1.61	2.32	1.16	3.55	2.52	1.69	1.72	3.16	1	2.5	2.13	0.69	1.5
167465	167465	ZNF366	0.61	0.71	0.3	0.25	0.72	0.83	0.34	0.33	0.31	0.49	0.91	0.19	0.24	0.96	0.18	0.97	0.23	1.54	0.96	1.2	1.04	0.5	1.95	1.39	0.57	0.47	0.99	0.17	0.97	0.81	0.88	1.06
140465	140465	MYL6B	82.28	87.52	112.98	62.82	55.09	76.92	71.64	54.78	114.08	78.77	98.02	71.53	87.85	93.7	243.33	80.83	76.31	98.49	120.28	74.47	39.69	123.25	64.81	91.69	79.39	58.23	76.72	155.93	48.36	48.65	256.51	176.71
90806	90806	ANGEL2	13.42	14.61	7.3	13.71	13.34	13.93	12.52	14.5	9.13	15.51	14.55	9.56	11.04	11.17	6.02	12.07	12.29	13.54	11.61	13.91	13.22	11.88	11.99	12.05	10.24	14	14.72	8.35	14.18	13.62	9.46	8.63
84467	84467	FBN3	0.04	0.27	0.11	0.2	0	0.28	0.02	0.09	0.06	0.1	0.08	0.06	0.02	0.23	0.02	0.04	0.08	0	0.02	0.01	0.01	0.03	0.02	0	0.03	0.06	0.08	0.03	0.02	0	0	0
374395	374395	TMEM179B	19.07	20.73	47.69	22.52	26.35	23.65	22.06	19.92	41.77	18.89	26.42	20.07	33.89	31.09	56.59	26.31	26.77	18.83	41.72	20.8	11.48	36.49	29.49	30.87	33.1	24.57	32.3	64.56	28.94	25.24	109.05	23.05
282996	282996	RBM20	0.55	0.47	1.91	0.62	1.04	0.41	0.84	0.71	2.12	1.17	0.75	0.65	0.65	0.75	0.41	0.37	0.83	4.09	1.55	4.87	2.01	5.1	3.18	7.11	2.99	6.41	5.25	2.15	5.73	4.66	4.33	2.89
57026	57026	PDXP	60.78	40.96	63.19	50.27	44.15	59.05	62.44	39.52	54.91	64.7	54.47	51.61	61.79	56.93	85.24	50.95	61.37	74.65	76.52	38.63	20.17	58.03	40.84	57.11	43.39	36.37	37.58	58.92	34.37	39.84	80.54	62.3
57658	57658	CALCOCO1	53.8	58.08	27.91	40.84	40.45	49.8	45.7	48.41	26.73	45.21	51.65	62.76	39.91	46.62	12.89	43.48	55.58	34.9	40.73	55.36	62.98	41.51	54.21	43.38	46.47	46.2	52.03	17.41	55.67	48.32	7.58	18.24
9968	9968	MED12	10.97	14.78	4.73	11.02	13.54	8.5	12.35	13.87	5.1	10.7	11.04	17.67	7.63	9.51	2.21	7.98	11.07	6.2	4.66	12.88	12.8	6.33	9.06	7.93	7.85	11.01	10.29	3.33	9.88	11.28	1.65	4.41
26707	26707	OR2J2	0.07	0	0	0.07	0.08	0	0.16	0.13	0	0.12	0.11	0.08	0.05	0.17	0.03	0.04	0.12	0.05	0.07	0.1	0.1	0.02	0.01	0.07	0.09	0.21	0.21	0	0.13	0.11	0	0.02
56666	56666	PANX2	1.52	3.02	1.59	1.77	0.89	1.8	3.3	1.6	1.85	1.02	2.37	4.28	2.04	2.57	0.99	2.09	4.04	0.62	1.48	1.93	0.86	1.6	0.93	2.15	1.09	1.26	1.17	0.44	1.33	1.12	0.4	0.71
1259	1259	CNGA1	8.34	9.55	3.17	0.39	12.66	1.48	2.39	6.45	13.63	3.15	0.6	3.59	2.29	2.31	3.38	1.1	4.68	2.06	1.04	2.41	1.41	1.69	2.25	1.37	2.04	1.68	1.75	0.55	1.27	0.62	1.59	4.22
26002	26002	MOXD1	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0.06	0.23	0.04	0	0	0.02	0.06	0	0	0	0
9961	9961	MVP	30.44	33.66	17.86	27.46	26.81	24.19	27.8	29.32	14.62	25.13	28.76	32.67	23.31	42.13	10.78	28.51	26.66	40.19	43.66	27.39	34.16	20.45	34.92	36.37	22.32	33.78	30.47	24.71	44.7	35.94	11.11	31.22
8694	8694	DGAT1	17.79	19.7	21.44	18.82	12.87	19.65	21.4	19.13	22.86	18.53	18.32	23.29	24.58	22.58	23.27	21.43	18.64	17.93	23.43	16.83	17.01	17.78	16.21	18.23	16.96	17.21	17.74	22.45	19.55	15.66	26.06	19.9
57379	57379	AICDA	0.09	0.18	0.1	0.32	0.21	0.2	0.1	0.56	0.05	0.2	0.26	0.34	0.2	0.28	0.06	0.26	0.41	0.3	0.16	0.29	0.33	0.13	0.31	0.16	0.2	0.21	0.55	0.07	0.36	0.33	0	0
5464	5464	PPA1	113.69	116.5	242.75	167.66	116.65	125.75	145.12	85.46	192.8	152.34	130.97	92.38	187.95	131.73	244.01	135.58	129.83	97.95	72.27	59.39	50.43	135.43	77.3	98.78	98.2	66.96	81.22	178.12	56.13	76.23	170.29	181.69
11280	11280	SCN11A	0.24	0.46	0.22	0.55	0.31	0.25	0.45	0.38	0.26	0.39	0.29	0.36	0.23	0.28	0.16	0.26	0.44	0.32	0.43	9.63	0.91	0.43	0.69	0.38	0.34	0.39	0.41	0.2	0.46	0.51	0.17	0.19
9985	9985	REC8	44.23	42.95	13.87	28.44	23.82	84.5	44.17	47.72	16.85	43.88	45.08	52.71	25.29	29.93	22.34	39.6	30.78	109.93	192.53	106.4	119.81	77.65	111.72	143.83	117.3	193.86	120.62	118.09	128	170.05	62.86	100.41
171392	171392	ZNF675	5.13	6.26	2.99	6.03	3.94	4.26	5.76	6.41	3.39	5.13	5.56	4.25	3.53	4.59	2.62	3.46	4.02	3.68	1.74	3.41	3.98	4.73	2.32	3.94	3.39	5.22	3.04	3.41	5.53	3.88	2.58	4.08
83547	83547	RILP	1.33	0.76	2.29	1.92	1.78	3.22	1.75	1.44	1.6	1.42	1.47	1.4	1.17	1.15	3.34	1.22	1.77	27.72	13.3	10.46	18.54	13.07	6.46	14.13	4.93	6.38	14.79	14.08	6.82	16.76	36.95	27.86
3475	3475	IFRD1	25.37	32.46	21.07	28.4	20.06	20.39	27.37	23.52	25.47	23.71	20.91	26.87	25.49	30.07	17.31	20.69	24.14	16.82	14.63	18.44	25.32	18.47	15.33	14.85	19.15	13.11	18.6	17.9	26.96	15.88	13.37	14.94
29998	29998	BICRA	1.89	3.69	0.78	3.21	3.16	2.97	3.6	4.04	1.03	2.84	3.16	4.71	3.06	4.11	0.83	3.24	4	1.84	5.84	4.38	4.05	1.15	3.95	3.78	2.97	4.55	4.56	1.48	5.02	4.44	0.73	1.08
55109	55109	AGGF1	8.8	9.73	11.27	9.17	9.1	8.26	8.45	9.19	9.47	9.44	8.4	7.06	9.07	7.04	6.73	6.59	8.06	7.73	6.02	8.24	8.34	9.22	6.6	7.91	7.37	9.19	8.49	8	8.1	8.19	5.37	5.45
8193	8193	DPF1	0.56	2.24	0.64	1	0	0.37	0.68	0.55	0.85	0.29	0.84	2.05	0.83	1.25	0.81	0.62	1.49	0.67	1.45	1.06	0.47	0.76	0.5	1.55	0.71	0.53	0.96	0.8	0.46	0.95	0.29	0.65
143241	143241	DYDC1	0.68	1.98	0.15	1.16	1.5	0.55	1.65	1.74	0.38	1.47	0.9	2.77	1.01	1.64	0.25	0.82	1.15	0.98	1.56	1.28	2.72	0.7	1.49	1.07	1.26	2.46	0.83	0.44	1.71	2.2	0.54	0.35
6327	6327	SCN2B	6.64	4.75	10.21	7.56	0.66	7.51	6.15	12.37	11.88	10.84	8.03	2.12	9.26	2.68	5.53	9.75	5.36	0.1	0.13	0.29	0.12	0.13	0.3	0.2	2.65	0.11	0.07	0.06	0.06	0.19	0.08	0.04
55814	55814	BDP1	4.58	5.13	3.06	4.55	4.26	4.51	4.16	4.68	3.42	4.51	4.64	5.64	5	4.78	2.23	4.14	4.69	6.06	4.61	6.46	7.02	4.78	5.23	6.26	5.33	6.19	6.35	4.71	7.29	6.1	3.83	3.07
65059	65059	RAPH1	2.05	3.82	2.31	2.61	6.54	3.21	2.72	4.49	2.11	2.73	3.8	2.68	2.86	3.45	1.81	2.77	3.48	5.28	1.7	3.94	6.68	3.8	4.43	4.98	4.2	5.57	3.74	3.08	4.06	5	1.54	2.56
117854	117854	TRIM6	0.26	0.36	0.13	0.41	0.42	0.33	0.27	0.49	0.3	0.26	0.83	1.02	0.31	0.68	0.12	0.56	0.46	0.24	0.23	0.52	0.29	0.13	0.92	0.34	0.27	0.41	0.4	0.13	0.67	0.35	0.09	0.17
728689	728689	EIF3CL	1.56	17.36	37.45	37.22	13.67	87.26	8.33	0	67.73	20.25	59.31	3.74	70.78	90.78	63.46	76.14	54.57	56.92	149.69	3.54	0.98	34.64	27.95	76.28	67.17	1.32	17.93	72.73	33.62	2.26	36.09	63.6
1203	1203	CLN5	13.03	6.97	15.26	11.9	15.07	11.53	11.5	14.34	13.22	10.04	10.13	11.26	9.78	8.78	7.59	8.56	13.18	13.23	6.6	9.46	10.55	8.97	8.63	7.76	7.9	9.93	9.42	9.71	13.43	7.97	11.58	5.62
91664	91664	ZNF845	2	2.22	1.18	1.72	1.81	1.99	1.93	1.69	1.43	1.8	1.54	2.3	1.41	1.81	0.95	1.69	1.68	1.44	1.02	1.8	1.88	1.07	1.27	1.59	1.3	1.66	1.56	1.33	2.12	1.99	0.57	1.1
4261	4261	CIITA	0.96	1.51	1.46	0.96	1.78	1.48	1.37	1.3	1.05	0.91	1.05	1.75	0.82	1.43	0.62	1.81	2.01	1.5	0.79	1.53	2.04	0.7	2.35	1.96	0.89	1.59	1.83	0.54	2.22	1.78	0.34	0.75
343637	343637	RSPO4	0.54	0.07	0.71	1.2	1.27	0.92	1.01	2.32	0.49	1.44	0.55	0.84	1.9	0.27	0.55	0.81	0.73	0.61	1.36	0.93	2.63	0.71	2.08	0.75	0.97	1.13	1.9	0.64	1.88	0.8	0.14	0.43
51109	51109	RDH11	17.5	31.77	39.56	22.62	25.05	20.01	20.63	17.19	27.3	21.64	18.78	28.14	26.95	32.54	19.79	22.2	32.11	29.4	29.5	28.21	24.11	24.62	27.13	25.15	22.51	31.83	30.18	28.75	28.14	35.33	33.61	22.43
55720	55720	TSR1	14.05	13.78	9.81	20.71	10.45	14	16.48	19.32	10.61	16.17	10.72	18.35	13.08	9.78	5.75	11.07	16.23	11.86	9.95	14.37	14.51	10.21	12.99	10.04	11.57	15.93	16.28	7.99	11.69	16.31	8.9	9.06
10919	10919	EHMT2	27.1	33.16	11.48	32.27	19.31	29.86	35.22	29.36	13.78	31.23	27.81	36.39	25.1	29.99	12.15	27.34	32.49	15.18	26.64	22.39	18.55	16.08	21.28	27.01	20.73	27.36	22.07	11.18	24.51	23.25	5.41	11.09
646754	646754	TRIM64C	0	0	0.09	0	0	0	0.03	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200403	200403	VWA3B	0.03	0.11	0.03	0.07	0.11	0.1	0.11	0.18	0.08	0.02	0.15	0.16	0.1	0	0.06	0	0.12	0.02	0	0	0.06	0.02	0.03	0.11	0.03	0.05	0.04	0.04	0.07	0.03	0	0.05
10390	10390	CEPT1	19.5	18.01	19.6	15.54	21.43	23.78	14.68	18.27	19.01	14.35	20.93	14.59	19.26	18.13	13.38	15.66	16.57	16.09	17.25	16.75	14.61	21.53	18.25	23.05	21.1	14.08	21.53	22.26	17.51	22.43	17.23	18.85
84649	84649	DGAT2	20.6	25.65	47.61	23.62	13.83	16.15	12.45	8.21	4.23	22.79	15.31	15.97	26.26	40	6.23	42.5	13.52	0.59	0.83	1.44	4.96	0.78	0.55	1.89	0.48	0.51	0.74	0.65	5.41	0.72	1.24	1.29
2359	2359	FPR3	1.7	0.7	2.55	0.56	5.6	2.25	1.37	0.93	0.87	1.06	0.21	1.43	0.78	1.28	0.59	1.64	0.88	1.01	0.28	3.76	2.69	1.64	10.97	3.61	0.78	2.77	2.5	3.46	3.07	3.49	2.5	1.48
646960	646960	PRSS56	0.03	0	0.03	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.08	0
116379	116379	IL22RA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0.04	0.02	0.02	0	0
29842	29842	TFCP2L1	0.03	0.04	0.02	0.01	0.11	0.11	0.06	0.01	0.34	0.02	0.05	0.06	0.09	0.06	0.02	0.04	0.09	0.08	0.01	0.25	0.22	0.26	0.21	0.05	0.15	0.18	0.11	0.05	0.09	0.12	0.02	0.03
100141515	100141515	C17orf99	0	0	0	0	0	0	0.06	0	0	0	0	0.11	0	0	0	0	0.06	0	0.04	0	0	0.05	0	0	0.03	0	0	0	0	0	0	0
100505989	100505989	SMIM31	0.59	1.08	0.19	0.71	0.6	0.6	0.74	0.48	0.35	0.82	0.54	0.97	0.74	0.58	0.23	0.61	0.85	0.22	0.69	0.67	1.07	0.41	0.59	0.58	0.59	0.6	0.86	0.3	0.95	0.79	0.14	0.24
9683	9683	N4BP1	13.63	12.35	5.67	14.34	12.64	10.26	13.1	16.23	7.07	12.61	11.84	13.02	8.99	9.64	3.36	12.26	9.92	8.42	11.95	12.3	12.31	6.56	10.67	9.75	8.87	15.66	11.7	5.53	12.47	13.66	3.6	4.48
139135	139135	PASD1	0.12	0.1	0	0.02	0.17	0.09	0.11	0.23	0.07	0.05	0	0.08	0.13	0.04	0.1	0.14	0.03	0.03	0.05	0.2	0.05	0.22	0.07	0.09	0.08	0.17	0.17	0.05	0.15	0.21	0.12	0.06
390877	390877	LOC390877	0.33	0.57	0.51	0.32	0.54	0.33	0.5	0.67	0.21	0.7	0.25	0.78	0.16	0.07	0.19	0.28	0.71	0.36	0.3	1.03	0.47	0.26	0.53	0.31	0.2	0.76	0.75	0.11	0.57	0.7	0.17	0.36
153527	153527	ZMAT2	92.02	71.46	81.64	72.99	63.94	88.1	77.2	74.21	77.5	81.41	83	77	84.61	92.09	83.54	74.56	73.67	62.51	89.58	67.52	45.74	78.68	58.26	72.47	74.39	62.02	64.3	73.25	63.47	67.17	61.04	70.4
266629	266629	SEC14L3	0	0.16	0	0.15	0.09	0.08	0.07	0.17	0.04	0.22	0.11	0.09	0.1	0.09	0.03	0.23	0.13	0.12	0.09	0.29	0.17	0.14	0.34	0.18	0.08	0.4	0.19	0.02	0.23	0.28	0.04	0.01
8611	8611	PLPP1	25.75	11.62	44.76	24.75	50.15	26.69	27.24	30.21	46.36	23.55	27.73	17.39	28.6	34.27	43.67	38.79	20.17	16.43	23.21	19.78	35.85	16.27	45.02	19.74	16.31	13.84	17.16	22.51	27.72	16.18	43.67	20.97
6631	6631	SNRPC	73.82	49.89	71.04	64.08	50.83	59.82	55.34	52.84	92.51	56.14	64.54	61.38	65.8	73.08	153.21	68.5	57.74	81.24	95.39	57.18	32.94	81.75	54.53	68.92	65.63	47.26	56.68	126.8	47.64	45.74	155.61	124.22
51322	51322	WAC	78.32	69.45	53.02	54.54	63.57	60.82	61.94	61.55	51.98	63.43	70.14	58.38	51.16	61.2	40.21	59.96	56.24	56.17	62.22	65.01	56.76	54.77	52.58	58.41	58.25	64.12	59.79	48.02	61.17	58.2	35.86	36.13
